id,title,year,journal,doi,claude category,organism,research,
22,Demographic consequences of phenological shifts in response to climate change,2021,Annual Review of Ecology Evolution & Systematics,https://doi.org/10.1146/annurev-ecolsys-011921-015133,,plant|animal,population|community|interactions|environmental change|phenology,
23,Plant-pollinator interaction niche broadens in response to severe drought perturbations,2021,Oecologia,https://doi.org/10.1007/s00442-021-05040-0,,plant|animal,community|interactions|environmental change,
24,Seeing through the static: the temporal dimension of plant-animal mutualistic interactions,2021,Ecology Letters,https://doi.org/10.1111/ele.13653,,plant|animal,community|interactions|environmental change,
25,Trait positions for elevated invasiveness in adaptive ecological networks,2021,Biological Invasions,https://doi.org/10.1007/s10530-021-02677-z,,,community|interactions|environmental change,
26,Ecological drivers and consequences of bumble bee body size variation,2022,Environmental Entomology,https://doi.org/10.1093/ee/nvac061,,animal,population|community,
27,Reef fishes weaken dietary preferences after coral mortality altering resource overlap,2022,Journal of Animal Ecology,https://doi.org/10.1111/1365-2656.13779,,animal,community|interactions|environmental change,
28,Removing flowers of a generalist plant changes pollinator visitation composition and interaction network structure,2022,Ecosphere,https://doi.org/10.1002/ecs2.4154,,plant|animal,community|interactions|pollination|environmental change,
29,Response to Pyke and Ren: How to study interactions,2022,Journal of Pollination Ecology,,,plant|animal,community|interactions|pollination,
30,Sodium-enriched floral nectar increases pollinator visitation rate and diversity,2022,Biology Letters,https://doi.org/10.1098/rsbl.2022.0016,,plant|animal,community|interactions|pollination,
31,The shifting importance of abiotic and biotic factors across the life cycles of wild pollinators,2022,Journal of Animal Ecology,https://doi.org/10.1111/1365-2656.13799,,animal,population|community|interactions|environmental change,
32,Book review: Foundations of Ecology II: Classic Papers with Commentaries,2023,Quarterly Review of Biology,,,, ,population|community|interactions
33,Can the collaboration of science and art broaden our understanding of nature?,2023,Plant Science Bulletin,,,,creative inquiry,
34,Genotype accounts for intraspecific variation in the timing and duration of life cycle events,2023,American Journal of Botany,https://doi.org/10.1002/ajb2.16112,,plant,phenology|population,
35,The effects of decline of a keystone plant species on a dune community plant-pollinator network,2023,Frontiers in Conservation Science,,,plant|animal,community|interactions|environmental change,
36,Predicting plant-pollinator interactions: concepts methods and challenges,2024,Trends in Ecology & Evolution,https://doi.org/10.1016/j.tree.2024.01.003,,plant|animal,community|interactions|pollination,
37,Pollination deficits increase with urbanization on urban farms in Chicago,2024,Ecosphere,https://doi.org/10.1002/ecs2.70100,,plant,pollination|interactions|environmental change,
38,Sodium-enriched nectar shapes plant-pollinator interactions in a subalpine meadow,2024,Ecology & Evolution,https://doi.org/10.1002/ece3.70026,,plant|animal,community|interactions|pollination,
39,The reproductive ecology of Erigeron speciosus a montane perennial herb: evidence of self-incompatibility,2024,Southwestern Naturalist,https://doi.org/10.1894/0038-4909-68.1.13,,plant,pollination,
40,Fitness consequences of non-native floral resource use for subalpine solitary bees: evidence of an ecological trap?,2025,Oikos,https://doi.org/10.1111/oik.11151,,animal,population|interactions|phenology|environmental change,
41,Intraspecific body size variation across distributional moments reveals trait filtering processes,2025,Journal of Animal Ecology,https://doi.org/10.1111/1365-2656.14205,,animal,population|community,
42,Protocol to increase accuracy of metagenomic barcoding using Angiosperms353: a case study with bumble bee pollen loads,2025,Applications in Plant Sciences,https://doi.org/10.1002/aps3.70026,,plant|animal,community|interactions|pollination,
43,Setting goals for pollinator gardens,2025,Conservation Biology,https://doi.org/10.1111/cobi.70009,,plant|animal,community|pollination|environmental change,
44,Cultivating curiosity,2025,Frontiers in Ecology and the Environment,https://doi.org/10.1002/fee.2863,,,population|interactions|environmental change|creative inquiry,
45,Meta-analyses reveal no clear demographic consequences of phenological change across taxa,2025,bioRxiv,https://doi.org/10.1101/2025.10.29.685396,,,population|phenology|environmental change,
46,Nutrient niche dynamics among wild pollinators,2025,Proceedings of the Royal Society B,https://doi.org/10.1098/rspb.2025.0643,,plant|animal,population|community|interactions|pollination,
47,Climate-driven specialisation in plant-pollinator networks peaks outside the tropics,2025,bioRxiv,https://doi.org/10.1101/2025.10.08.680666,,plant|animal,community|interactions|pollination,
48,Predicting interaction frequency in plant-pollinator networks,2025,EcoEvoRxiv,https://doi.org/10.32942/X2S63Z,,plant|animal,community|interactions|pollination,
49,A Practical Roadmap For Sampling Floral Nectar From Communities of Many Plant Species,2025,bioRxiv,https://doi.org/10.64898/2025.12.19.695174,,plant,pollination|interactions|community,
50,Changing pollination rates affect plant life history strategies,2026,bioRxiv,https://doi.org/10.64898/2026.02.11.705202,,plant,pollination|population|interactions|environmental change,
51,Evaluating cultivars for pollinator gardens,2026,Ecosphere,https://doi.org/10.1002/ecs2.70566,,plant,community|pollination|environmental change,
52,Defining the pollinator garden: is conceptual flexibility a feature or a bug?,2026,Frontiers in Ecology and the Environment,,,,community|pollination|environmental change,
